RouteName;Direction;TFLSequence;BusStopCode;FirstLast
33;2;19;52305;
N89;2;22;51315;
462;1;31;54398;
180;2;5;77782;
R4;1;19;55742;
U10;2;8;77798;
230;2;26;57770;
611;1;23;57629;
56;2;35;77974;
N44;1;66;52709;
253;1;30;71180;
273;1;42;48442;
R5;2;16;74558;
B15;2;11;53085;
417;2;11;71023;
468;2;27;50360;
282;2;45;56537;
N22;2;29;75855;
41;1;6;48340;
N8;2;5;54468;
EL1;1;8;55167;
641;1;10;49295;
353;2;15;58295;
N137;2;27;50520;
140;2;16;71898;
132;2;17;47308;
51;1;12;49440;
N133;2;10;91569;
8;1;25;58894;
317;1;16;77989;
E3;2;41;55015;
414;2;35;49980;LAST
455;1;17;74858;
265;2;9;49865;
N19;1;17;73368;
601;2;15;77921;
C11;2;10;72402;
367;1;60;72217;
129;1;4;76374;
450;1;9;56000;
601;1;17;56305;
N5;1;37;57794;
217;1;26;49187;
316;2;8;58120;
407;1;30;54210;
390;1;20;51702;
249;2;39;47016;
N3;1;84;53181;
58;1;8;73121;
R8;2;3;72444;
N31;1;38;72233;
432;2;15;54291;
166;2;44;52229;
183;1;22;75275;
U1;1;3;77981;
221;2;40;58421;
N8;1;77;76859;
493;2;15;71603;
N35;1;49;55524;
73;1;13;71293;
654;2;26;75144;
298;2;31;55899;LAST
243;1;32;72041;
611;1;15;59053;
289;2;7;51686;
73;1;40;77043;
317;1;10;57296;
R70;1;6;59305;
189;1;2;56615;
N35;2;49;56088;
233;2;32;71441;
476;1;27;49521;
149;2;1;76510;FIRST
5;2;23;48966;
232;1;20;54511;
469;2;24;49204;
221;1;14;58978;
N207;1;20;55179;
263;1;38;58300;
696;1;39;51411;
344;1;26;53652;
11;1;2;47066;
N89;2;15;77162;
133;1;20;77324;
107;1;32;77368;
91;1;35;77694;
365;1;21;71292;
422;2;52;55831;
U5;1;20;73581;
N109;1;35;53708;
642;1;9;52653;
N20;1;22;75209;
116;2;2;56197;
149;1;48;74569;
E6;2;3;74908;
U1;1;5;54501;
699;2;3;73865;
444;1;20;71705;
16;1;11;73344;
22;1;27;55437;
372;2;39;71292;
U5;2;26;49352;
358;2;4;53036;
112;2;8;54817;
R70;2;19;73183;
493;2;23;53767;
81;1;44;59603;
B15;2;28;48233;
24;2;20;77942;
270;2;6;51672;
450;2;16;72242;
N550;2;12;73284;
34;2;11;71711;
116;1;4;57639;
362;2;11;76158;
607;1;10;52131;
54;1;43;56405;
K3;1;52;57089;
43;2;18;50489;
410;2;43;57304;
33;2;37;71041;
150;1;31;59002;
391;2;10;47847;
R11;2;27;55217;
699;1;14;74010;
157;2;10;52193;
42;2;27;58116;
60;2;6;52632;
72;1;3;74954;
N74;1;23;76012;
243;1;1;55589;FIRST
EL2;1;23;56824;
21;1;46;49436;
287;2;36;49010;
N31;1;52;72848;
193;1;5;50889;
602;1;3;53814;
309;2;24;58398;
422;1;52;52254;
386;2;25;57721;
P5;1;19;55187;
303;1;20;52817;
