BusStopCode	Reason,
NONE,occasional server response
47218,Hail and ride
47258,Hail and ride
47380,Hail and ride
47491,Hail and ride
47611,Hail and ride
47633,Hail and ride
47789,Hail and ride
47853,Hail and ride
47996,Hail and ride
48064,Hail and ride
48107,Hail and ride
48357,Hail and ride
48580,Hail and ride
48634,Hail and ride
48685,Hail and ride
48754,Hail and ride
48834,Hail and ride
48983,Hail and ride
49042,Hail and ride
49071,Hail and ride
49159,Hail and ride
49550,Hail and ride
49597,Hail and ride
49609,Hail and ride
49956,Hail and ride
50009,Hail and ride
50160,Hail and ride
50719,Hail and ride
50782,Hail and ride
50836,Hail and ride
50931,Hail and ride
50937,Hail and ride
50991,Hail and ride
51211,Hail and ride
51236,Hail and ride
51570,Hail and ride
51818,Hail and ride
51841,Hail and ride
51911,Hail and ride
51970,Hail and ride
52039,Hail and ride
52089,Hail and ride
52175,Hail and ride
52188,Hail and ride
52207,Hail and ride
52209,Hail and ride
52529,Hail and ride
52996,Hail and ride
53069,Hail and ride
53086,Hail and ride
53350,Hail and ride
53371,Hail and ride
53389,Hail and ride
53530,Hail and ride
53547,Hail and ride
53555,Hail and ride
53654,Hail and ride
53717,Hail and ride
53833,Hail and ride
53895,Hail and ride
53909,Hail and ride
53935,Hail and ride
53969,Hail and ride
53986,Hail and ride
54056,Hail and ride
54085,Hail and ride
54520,Hail and ride
54623,Hail and ride
54755,Hail and ride
54948,Hail and ride
55053,Hail and ride
55084,Hail and ride
55161,Hail and ride
55330,Hail and ride
55491,Hail and ride
55547,Hail and ride
55556,Hail and ride
55584,Hail and ride
55711,Hail and ride
55853,Hail and ride
55885,Hail and ride
56038,Hail and ride
56311,Hail and ride
56424,Hail and ride
56576,Hail and ride
56583,Hail and ride
56832,Hail and ride
56849,Hail and ride
57008,Hail and ride
57080,Hail and ride
57087,Hail and ride
57143,Hail and ride
57262,Hail and ride
57387,Hail and ride
57434,Hail and ride
57454,Hail and ride
57809,Hail and ride
58319,Hail and ride
58379,Hail and ride
58419,Hail and ride
58525,Hail and ride
58629,Hail and ride
58631,Hail and ride
58761,Hail and ride
59080,Hail and ride
59256,Hail and ride
59367,Hail and ride
59369,Hail and ride
59399,Hail and ride
59613,Hail and ride
59614,Hail and ride
59615,Hail and ride
59616,Hail and ride
59617,Hail and ride
59618,Hail and ride
59619,Hail and ride
59620,Hail and ride
59621,Hail and ride
71008,Hail and ride
71316,Hail and ride
71349,Hail and ride
71404,Hail and ride
71438,Hail and ride
71491,Hail and ride
71548,Hail and ride
71696,Hail and ride
71928,Hail and ride
71943,Hail and ride
72192,Hail and ride
72215,Hail and ride
72802,Hail and ride
72826,Hail and ride
72990,Hail and ride
73147,Hail and ride
73262,Hail and ride
73537,Hail and ride
73647,Hail and ride
73703,Hail and ride
73795,Hail and ride
73824,Hail and ride
73887,Hail and ride
74264,Hail and ride
74420,Hail and ride
74496,Hail and ride
74601,Hail and ride
74880,Hail and ride
74916,Hail and ride
75027,Hail and ride
75077,Hail and ride
75088,Hail and ride
75236,Hail and ride
75316,Hail and ride
75494,Hail and ride
75644,Hail and ride
75773,Hail and ride
75809,Hail and ride
75902,Hail and ride
75919,Hail and ride
75933,Hail and ride
76026,Hail and ride
76360,Hail and ride
76363,Hail and ride
76395,Hail and ride
76396,Hail and ride
76555,Hail and ride
76567,Hail and ride
76632,Hail and ride
76636,Hail and ride
76771,Hail and ride
77048,Hail and ride
77115,Hail and ride
77252,Hail and ride
77397,Hail and ride
77829,Hail and ride
77983,Hail and ride
95004,Hail and ride
51273,dead bus stand
91370,dead bus stand
75585,dead bus stand
55808,dead bus stand
48499,Stop not in regular use
98118,Hail and ride
98211,Hail and ride
98212,Hail and ride
98213,Hail and ride
98214,Hail and ride
98215,Hail and ride
98124,Hail and ride
48932,No record of bus stop
76376,No record of bus stop
